district,village,office,agree,disagree
路竹區,竹東里,195,279,7
路竹區,竹東里,196,718,18
路竹區,竹西里,197,403,23
路竹區,竹西里,198,447,15
路竹區,文北里,199,400,16
路竹區,文北里,200,435,13
路竹區,文北里,201,411,9
路竹區,文南里,202,511,14
路竹區,文南里,203,436,12
路竹區,三爺里,204,374,13
路竹區,鴨寮里,205,444,7
路竹區,鴨寮里,206,410,7
路竹區,社東里,207,751,22
路竹區,社中里,208,345,9
路竹區,竹南里,209,385,4
路竹區,竹南里,210,333,16
路竹區,竹南里,211,353,7
路竹區,社南里,212,392,10
路竹區,社南里,213,380,14
路竹區,社南里,214,407,15
路竹區,社南里,215,780,22
阿蓮區,石安里,216,612,20
阿蓮區,中路里,217,533,14
阿蓮區,中路里,218,456,17
阿蓮區,峯山里,219,551,11
阿蓮區,港後里,220,646,15
阿蓮區,港後里,221,232,8
阿蓮區,崗山里,222,339,8
阿蓮區,阿蓮里,223,532,12
阿蓮區,阿蓮里,224,462,13
阿蓮區,阿蓮里,225,527,11
阿蓮區,阿蓮里,226,571,22
阿蓮區,清蓮里,227,668,13
阿蓮區,清蓮里,228,442,20
阿蓮區,和蓮里,229,497,15
阿蓮區,和蓮里,230,608,8
阿蓮區,青旗里,231,570,13
阿蓮區,復安里,232,380,4
阿蓮區,復安里,233,283,7
阿蓮區,玉庫里,234,516,10
阿蓮區,南蓮里,235,666,23
阿蓮區,南蓮里,236,468,17
田寮區,鹿埔里,237,113,4
田寮區,南安里,238,237,5
田寮區,南安里,239,154,7
田寮區,大同里,240,155,6
田寮區,田寮里,241,142,7
田寮區,七星里,242,252,12
田寮區,崇德里,243,340,20
田寮區,西德里,244,324,9
田寮區,三和里,245,77,1
田寮區,古亭里,246,162,4
田寮區,新興里,247,289,11
田寮區,新興里,248,307,6
永安區,永安里,249,274,7
永安區,永安里,250,283,6
永安區,永華里,251,338,11
永安區,永華里,252,358,7
永安區,新港里,253,353,10
永安區,新港里,254,401,8
永安區,新港里,255,276,12
永安區,鹽田里,256,168,2
